Language,Source Text,Translated Text
ar,District Location,مديرية
ar,Subdistrict Location,عزلة
ar,Expense Claim,إخلاء عهدة
ar,Task,نشاط رئيسي
ar,Holiday List Calendar   ,تقويم قائمة العطلات
ar,Geographical Scope ,النطاق الجغرافي
ar,Project Beneficiaries ,المستفيدون من المشروع
ar,Beneficiary Method,طريقة المستفيد
ar,Project Beneficiary,المستفيدون من المشروع
ar,Beneficiary Count,عدد المستفيدين
ar,Beneficiary Type,نوع المستفيد
ar,Implementing Partners ,الشركاء المنفذون
ar,Implementing Partners ,الشريك المنفذ
ar,Partner Name,اسم شريك
ar,Project Donors,الجهات المانحة للمشروع
ar,Risks and Mitigation ,المخاطر والتخفيف
ar,Project Risks,مخاطر المشروع
ar,Mitigation Plan,خطة التخفيف
ar,Cash Amount,مبلغ نقدي
ar,Bank Amount,مبلغ البنك
ar,Project Documents,وثائق المشروع
ar,Dependent Projects ,المشاريع التابعة
ar,Dependent Project,مشروع تابع
ar,Type,نوع
ar,Extra Note,ملاحظة اضافية
ar,Partner Name ,اسم شريك
ar,Edit Filters ,تحرير المرشحات
ar,Show Saved,إظهار المحفوظة
ar,Copy to Clipboard ,نسخ إلى الحافظة
ar,Kanban,كانبان
ar,Calendar,التقويم
ar,Choose a color,اختيار اللون
ar,Is Template,هو نموذج
ar,Task Mode,وضع المهمة
ar,Monual Scheduling ,الجدولة الأحادية
ar,Auto Scheduling,الجدولة التلقائية
ar,Physical Progress Completion ,إتمام التقدم المادي
ar,Deadline Date ,تاريخ الموعد النهائي
ar,Actual Duration,المدة الفعلية
ar,Log Frame,سجل الإطار
ar,Has Log Frame,له إطار سجل
ar,Assumptions,افتراض
ar,Community Contribution,مساهمة المجتمع
ar,Apply Fliters,تطبيق فليتر
ar,Add a Fliter,أضف فليتر
ar,Project Summary,ملخص المشروع
ar,Average Completion,متوسط الإنجاز
ar,Completed Tasks,المهام المكتملة
ar,Overdue Tasks,المهام المتأخرة
ar,Total Tasks,إجمالي المهام
ar,Completed Tasks,المهام المكتملة
ar,Overdue ,متأخر
ar,Up Level,مستوى أفضل
ar,Indicators,المؤشرات
ar,Resource,الموارد
ar,Resource Name,اسم المورد
ar,Indicator Value,قيمة المؤشر
ar,Indicator Source,مصدر المؤشر
ar,Indicator Responsible ,المؤشر مسؤول
ar,Set Up,يثبت
ar,Indicator Aggregation ,تجميع المؤشر
ar,Document File Category,فئة ملف المستند
ar,Coordinator ,منسق
ar,Beneficiary Sheet Tool Import,استيراد أداة ورقة المستفيد
ar,Beneficiary Type,نوع المستفيد
ar,Beneficiary Age ,سن المستفيد
ar,Resources,موارد
ar,Resource,الموارد
ar,Task Resource Request,طلب موارد المهمة
ar,Task Resource Request Tool,أداة طلب موارد المهام
ar,Resource Account Type ,نوع حساب المورد
ar,Risks,المخاطر
ar,Risk Category,درجة الخطوره
ar,Baselines,خطوط الأساس
ar,Baseline,حدود
ar,Recurring Tasks Tool,أداة المهام المتكررة
ar,Task Resource Request Tool,أداة طلب موارد المهام
ar,Parent Goal,هدف الأب
ar,Program Manager,مدير البرنامج
ar,initiating,اعداد
ar,Funded,ممول
ar,No Funded,عير ممول
ar,Estimated Budget,الميزانية التقديرية
ar,Program Document,وثيقة البرنامج
ar,Add New,اضف جديد
ar,Log Frame for,سجل الإطار لأجل
ar,Text Type,إدخال النص
ar,Subject Text,نص الموضوع
ar,Risks and Assumption ,المخاطر والافتراض
ar,Assumption,افتراض
ar,Geographical Scope ,النطاق الجغرافي
ar,Project Documents,وثيقة المشروع
ar,Strategic Goals,الأهداف الاستراتيجية
ar,Rebuild Tree,إعادة بناء الشجرة
ar,Indicator Name,اسم المؤشر
